Designator,Mid X,Mid Y,Rotation,Layer
Q18,187.400001,-53.1,270.0,top
Q19_2,121.116786,-51.116982,0.0,top
Q19,195.949999,-49.4,180.0,top
Q2_2,113.985833,-43.974125,0.0,top
Q2,173.45,-41.9,180.0,top
Q20_2,121.116786,-51.116982,0.0,bottom
Q20,194.900001,-53.1,270.0,top
Q21_2,128.259643,-51.116982,0.0,top
Q21,203.449999,-49.4,180.0,top
Q22_2,128.259643,-51.116982,0.0,bottom
Q22,202.400001,-53.1,270.0,top
Q23_2,135.4025,-51.116982,0.0,top
Q23,210.949999,-49.4,180.0,top
Q24_2,135.4025,-51.116982,0.0,bottom
Q24,209.900001,-53.1,270.0,top
Q25_2,142.545357,-51.116982,0.0,top
Q25,173.449999,-56.9,180.0,top
Q26_2,142.545357,-51.116982,0.0,bottom
Q26,172.400001,-60.6,270.0,top
Q27_2,149.688214,-51.116982,0.0,top
Q27,180.949999,-56.9,180.0,top
Q28_2,149.688214,-51.116982,0.0,bottom
Q28,179.900001,-60.6,270.0,top
Q29_2,156.842975,-51.116982,0.0,top
Q29,188.449999,-56.9,180.0,top
Q3_2,121.12869,-43.974125,0.0,top
Q3,180.95,-41.9,180.0,top
Q30_2,156.842975,-51.116982,0.0,bottom
Q30,187.400001,-60.6,270.0,top
Q31_2,163.985832,-51.116982,0.0,top
Q31,195.949999,-56.9,180.0,top
Q32_2,163.985832,-51.116982,0.0,bottom
Q32,194.900001,-60.6,270.0,top
Q33_2,113.985833,-58.259839,0.0,top
Q33,203.449999,-56.9,180.0,top
Q34_2,113.985833,-58.259839,0.0,bottom
Q34,202.400001,-60.6,270.0,top
Q35_2,121.12869,-58.259839,0.0,top
Q35,210.949999,-56.9,180.0,top
Q36_2,121.12869,-58.259839,0.0,bottom
Q36,209.900001,-60.6,270.0,top
Q37_2,128.271547,-58.259839,0.0,top
Q37,173.449999,-64.5,180.0,top
Q38_2,128.271547,-58.259839,0.0,bottom
Q38,172.400001,-68.2,270.0,top
Q39_2,135.414404,-58.259839,0.0,top
Q39,180.949999,-64.5,180.0,top
Q4_2,121.12869,-43.974125,0.0,bottom
Q4,179.900001,-45.6,270.0,top
Q40_2,135.414404,-58.259839,0.0,bottom
Q40,179.900001,-68.2,270.0,top
Q41_2,142.557261,-58.259839,0.0,top
Q41,188.449999,-64.5,180.0,top
Q42_2,142.557261,-58.259839,0.0,bottom
