C1:2
C10:2
C11:2
C12:2
C13:2
C14:2
C15:2
C16:2
C17:2
C18:2
C19:2
C2:2
C20:2
C21:2
C22:2
C23:2
C24:2
C25:2
C26:2
C27:2
C28:2
C29:2
C3:2
C30:2
C31:2
C32:2
C33:2
C34:2
C35:2
C36:2
C37:1
C38:1
C39:1
C4:2
C40:1
C41:1
C42:1
C43:1
C44:1
C45:1
C46:1
C47:1
C48:1
C49:1
C5:2
C50:1
C51:1
C52:1
C53:1
C54:1
C55:1
C56:1
C57:1
C58:1
C59:1
C6:2
C60:1
C61:1
C62:1
C63:1
C64:1
C7:2
C8:2
C9:2
J1:2
Q1:2
Q10:2
Q100:1
Q101:1
Q102:1
Q103:1
Q104:1
Q105:1
Q106:1
Q107:1
Q108:1
Q109:1
Q11:2
Q110:1
Q111:1
Q112:1
Q113:1
Q114:1
Q115:1
Q116:1
Q117:1
Q118:1
Q119:1
Q12:2
Q120:1
Q121:1
Q122:1
Q123:1
Q124:1
Q125:1
Q126:1
Q127:1
Q128:1
Q13:2
Q14:2
Q15:2
Q16:2
Q17:2
Q18:2
Q19:2
Q2:2
Q20:2
Q21:2
Q22:2
Q23:2
Q24:2
Q25:2
Q26:2
Q27:2
Q28:2
Q29:2
Q3:2
Q30:2
Q31:2
Q32:2
Q33:2
Q34:2
Q35:2
Q36:2
Q37:2
Q38:2
Q39:2
Q4:2
Q40:2
Q41:2
Q42:2
Q43:2
Q44:2
Q45:2
Q46:2
Q47:2
Q48:2
Q49:2
Q5:2
Q50:2
Q51:2
Q52:2
Q53:2
Q54:2
Q55:2
Q56:2
Q57:2
Q58:2
Q59:2
Q6:2
Q60:2
Q61:2
Q62:2
Q63:2
Q64:2
Q65:2
Q66:2
Q67:2
Q68:2
Q69:2
Q7:2
Q70:2
Q71:2
Q72:2
Q73:1
Q74:1
Q75:1
Q76:1
Q77:1
Q78:1
Q79:1
Q8:2
Q80:1
Q81:1
Q82:1
Q83:1
Q84:1
Q85:1
Q86:1
Q87:1
Q88:1
Q89:1
Q9:2
Q90:1
Q91:1
Q92:1
Q93:1
Q94:1
Q95:1
Q96:1
Q97:1
Q98:1
Q99:1
R1:2
R10:2
R11:2
R12:2
R13:2
R14:2
R15:2
R16:2
R17:2
R18:2
R19:2
R2:2
R20:2
R21:2
R22:2
R23:2
R24:2
R25:2
R26:2
R27:2
R28:2
R29:2
R3:2
R30:2
R31:2
R32:2
R33:2
R34:2
R35:2
R36:2
R37:1
R38:1
R39:1
R4:2
R40:1
R41:1
R42:1
R43:1
R44:1
R45:1
R46:1
R47:1
R48:1
R49:1
R5:2
R50:1
R51:1
R52:1
R53:1
R54:1
R55:1
R56:1
R57:1
R58:1
R59:1
R6:2
R60:1
R61:1
R62:1
R63:1
R64:1
R7:2
R8:2
R9:2
TP1:2
TP10:2
TP100:1
TP101:1
TP102:1
TP103:1
TP104:1
TP105:1
TP106:1
TP107:1
TP108:1
TP109:1
TP11:2
TP110:1
TP111:1
TP112:1
TP113:1
TP114:1
TP115:1
TP116:1
TP117:1
TP118:1
TP119:1
TP12:2
TP120:1
TP121:1
TP122:1
TP123:1
TP124:1
TP125:1
TP126:1
TP127:1
TP128:1
TP13:2
TP14:2
TP15:2
TP16:2
TP17:2
TP18:2
TP19:2
TP2:2
TP20:2
TP21:2
TP22:2
TP23:2
TP24:2
TP25:2
TP26:2
TP27:2
TP28:2
TP29:2
TP3:2
TP30:2
TP31:2
TP32:2
TP33:2
TP34:2
TP35:2
TP36:2
TP37:2
TP38:2
TP39:2
TP4:2
TP40:2
TP41:2
TP42:2
TP43:2
TP44:2
TP45:2
TP46:2
TP47:2
TP48:2
TP49:2
TP5:2
TP50:2
TP51:2
TP52:2
TP53:2
TP54:2
TP55:2
TP56:2
TP57:2
TP58:2
TP59:2
TP6:2
TP60:2
TP61:2
TP62:2
TP63:2
TP64:2
TP65:2
TP66:2
TP67:2
TP68:2
TP69:2
TP7:2
TP70:2
TP71:2
TP72:2
TP73:1
TP74:1
TP75:1
TP76:1
TP77:1
TP78:1
TP79:1
TP8:2
TP80:1
TP81:1
TP82:1
TP83:1
TP84:1
TP85:1
TP86:1
TP87:1
TP88:1
TP89:1
TP9:2
TP90:1
TP91:1
TP92:1
TP93:1
TP94:1
TP95:1
TP96:1
TP97:1
TP98:1
TP99:1
